2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 2328319,  Water Conservation, 0, 0, 0, 0, 0, 0, 93500, 93500
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 2328319, Total, 0, 0, 0, 0, 0, 0, 1176648, 1176648
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2374768,  Education, 0, 0, 0, 0, 0, 0, 176400, 176400
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2374768,  Roads, 0, 0, 0, 0, 0, 0, 258000, 258000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2374768,  Sanitation, 0, 0, 0, 0, 0, 0, 160000, 160000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2374768, Total, 0, 0, 0, 0, 0, 0, 594400, 594400
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2355946,  Drinking water, 0, 0, 0, 0, 0, 0, 448000, 448000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2355946,  Water Conservation, 0, 0, 0, 0, 0, 0, 90880, 90880
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2355946, Total, 0, 0, 0, 0, 0, 0, 538880, 538880
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2838619,  Education, 0, 0, 0, 0, 0, 0, 502500, 502500
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2838619,  Health, 0, 0, 0, 0, 0, 0, 348921, 348921
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2838619,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 580000, 580000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2838619,  Sanitation, 0, 0, 0, 0, 0, 0, 420000, 420000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 2838619, Total, 0, 0, 0, 0, 0, 0, 1851421, 1851421
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2243833,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 289002, 289002
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2243833,  Drinking water, 0, 0, 0, 0, 0, 0, 472000, 472000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2243833,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 880000, 880000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2243833,  Roads, 0, 0, 0, 0, 0, 0, 4915000, 4915000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2243833,  Rural electrification, 0, 0, 0, 0, 0, 0, 430000, 430000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2243833,  Sanitation, 0, 0, 0, 0, 0, 0, 8637500, 8637500
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2243833, Total, 0, 0, 0, 0, 0, 0, 15623502, 15623502
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2857967,  Education, 0, 0, 0, 0, 0, 0, 200000, 200000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2857967,  Health, 0, 0, 0, 0, 0, 0, 150000, 150000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2857967,  Land improvement, 0, 0, 0, 0, 0, 0, 300000, 300000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2857967,  Roads, 0, 0, 0, 0, 0, 0, 350000, 350000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARDAYA, 42729, 2857967, Total, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2856392,  Education, 0, 0, 0, 0, 0, 0, 143000, 143000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2856392,  Health, 0, 0, 0, 0, 0, 0, 350000, 350000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2856392,  Roads, 0, 0, 0, 0, 0, 0, 425000, 425000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2856392,  Sanitation, 0, 0, 0, 0, 0, 0, 350000, 350000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2856392, Total, 0, 0, 0, 0, 0, 0, 1268000, 1268000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2423905,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 100000, 100000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2423905,  Drinking water, 0, 0, 0, 0, 0, 0, 1400000, 1400000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2423905,  Roads, 0, 0, 0, 0, 0, 0, 334525, 334525
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2423905,  Sanitation, 0, 0, 0, 0, 0, 0, 120000, 120000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2423905,  Water Conservation, 0, 0, 0, 0, 0, 0, 48000, 48000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2423905, Total, 0, 0, 0, 0, 0, 0, 2002525, 2002525
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 142000, 142000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Drinking water, 0, 0, 0, 0, 0, 0, 625000, 625000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Education, 0, 0, 0, 0, 0, 0, 100000, 100000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 2512500, 2512500
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Roads, 0, 0, 0, 0, 0, 0, 5105500, 5105500
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Rural electrification, 0, 0, 0, 0, 0, 0, 342500, 342500
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Sanitation, 0, 0, 0, 0, 0, 0, 645000, 645000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885,  Water Conservation, 0, 0, 0, 0, 0, 0, 30000, 30000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2259885, Total, 0, 0, 0, 0, 0, 0, 9502500, 9502500
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2425942,  Drinking water, 0, 0, 0, 0, 0, 0, 50000, 50000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2425942,  Roads, 0, 0, 0, 0, 0, 0, 334525, 334525
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARRUA KHAS, 42730, 2425942, Total, 0, 0, 0, 0, 0, 0, 384525, 384525
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 217000, 217000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933,  Drinking water, 0, 0, 0, 0, 0, 0, 1097000, 1097000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933,  Education, 0, 0, 0, 0, 0, 0, 200000, 200000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933,  Roads, 0, 0, 0, 0, 0, 0, 6542000, 6542000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933,  Rural electrification, 0, 0, 0, 0, 0, 0, 220000, 220000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933,  Sanitation, 0, 0, 0, 0, 0, 0, 2822000, 2822000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933,  Water Conservation, 0, 0, 0, 0, 0, 0, 460000, 460000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2266933, Total, 0, 0, 0, 0, 0, 0, 11558000, 11558000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2429887,  Drinking water, 0, 0, 0, 0, 0, 0, 130000, 130000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2429887,  Roads, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2429887,  Sanitation, 0, 0, 0, 0, 0, 0, 60000, 60000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2429887, Total, 0, 0, 0, 0, 0, 0, 1190000, 1190000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2590492,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 92000, 92000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2590492,  Roads, 0, 0, 0, 0, 0, 0, 480000, 480000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2590492, Total, 0, 0, 0, 0, 0, 0, 572000, 572000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2821486,  Roads, 0, 0, 0, 0, 0, 0, 375000, 375000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ARSENA, 42731, 2821486, Total, 0, 0, 0, 0, 0, 0, 375000, 375000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 110000, 110000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Drinking water, 0, 0, 0, 0, 0, 0, 465000, 465000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Education, 0, 0, 0, 0, 0, 0, 796000, 796000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 32000, 32000
