2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, SEWARIYA, 141152, 1664322, Roads, 0, 0, 0, 0, 0, 0, 1734000, 1734000
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, SEWARIYA, 141152, 1664322, Total, 0, 0, 0, 0, 0, 0, 1734000, 1734000
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, UMDA, 141156, 1664327, Roads, 0, 0, 0, 0, 0, 0, 1977500, 1977500
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, UMDA, 141156, 1664327, Total, 0, 0, 0, 0, 0, 0, 1977500, 1977500
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, SEMLAYA, 141151, 1664320, Roads, 0, 0, 0, 0, 0, 0, 1986750, 1986750
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, SEMLAYA, 141151, 1664320, Total, 0, 0, 0, 0, 0, 0, 1986750, 1986750
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, RANJEETGARH, 141149, 1664318, Roads, 0, 0, 0, 0, 0, 0, 1406750, 1406750
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, RANJEETGARH, 141149, 1664318, Total, 0, 0, 0, 0, 0, 0, 1406750, 1406750
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, UBLAD, 141155, 1664325, Roads, 0, 0, 0, 0, 0, 0, 1151000, 1151000
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, UBLAD, 141155, 1664325, Total, 0, 0, 0, 0, 0, 0, 1151000, 1151000
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, PAHADWA, 141148, 1664317, Cultural activities, 0, 0, 0, 0, 0, 0, 184000, 184000
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, PAHADWA, 141148, 1664317, Roads, 0, 0, 0, 0, 0, 0, 2089000, 2089000
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, PAHADWA, 141148, 1664317, Total, 0, 0, 0, 0, 0, 0, 2273000, 2273000
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, WAGDI, 141159, 1664330, Roads, 0, 0, 0, 0, 0, 0, 2305625, 2305625
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, WAGDI, 141159, 1664330, Total, 0, 0, 0, 0, 0, 0, 2305625, 2305625
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, SINDHI, 141153, 1664323, Roads, 0, 0, 0, 0, 0, 0, 1096500, 1096500
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, SINDHI, 141153, 1664323, Total, 0, 0, 0, 0, 0, 0, 1096500, 1096500
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, BADI KHATTALI, 141125, 1664213, Roads, 0, 0, 0, 0, 0, 0, 1747862, 1747862
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, JOBAT, 4239, BADI KHATTALI, 141125, 1664213, Total, 0, 0, 0, 0, 0, 0, 1747862, 1747862
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, KHAMDKA, 141192, 1669131, Roads, 0, 0, 0, 0, 0, 0, 2148325, 2148325
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, KHAMDKA, 141192, 1669131, Total, 0, 0, 0, 0, 0, 0, 2148325, 2148325
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, BADI SARDI, 141170, 1669128, Roads, 0, 0, 0, 0, 0, 0, 1563150, 1563150
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, BADI SARDI, 141170, 1669128, Total, 0, 0, 0, 0, 0, 0, 1563150, 1563150
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, CHANDPUR, 141173, 1669130, Roads, 0, 0, 0, 0, 0, 0, 1671250, 1671250
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, CHANDPUR, 141173, 1669130, Total, 0, 0, 0, 0, 0, 0, 1671250, 1671250
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, BOKDIYA, 141172, 1669129, Roads, 0, 0, 0, 0, 0, 0, 1968400, 1968400
2017, MADHYA PRADESH, 23, ALIRAJPUR, 583, KATTHIWADA, 4240, BOKDIYA, 141172, 1669129, Total, 0, 0, 0, 0, 0, 0, 1968400, 1968400
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, MALGA, 131565, 1623710, Public distribution system, 0, 0, 0, 0, 0, 0, 50000, 50000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, MALGA, 131565, 1623710, Roads, 0, 0, 0, 0, 0, 0, 1250214, 1250214
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, MALGA, 131565, 1623710, Water Conservation, 0, 0, 0, 0, 0, 0, 30000, 30000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, MALGA, 131565, 1623710, Total, 0, 0, 0, 0, 0, 0, 1330214, 1330214
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, CHOHARI, 131546, 1623703, Roads, 0, 0, 0, 0, 0, 0, 2314425, 2314425
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, CHOHARI, 131546, 1623703, Total, 0, 0, 0, 0, 0, 0, 2314425, 2314425
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, CHHULHA, 131544, 1623700, Roads, 0, 0, 0, 0, 0, 0, 1191107, 1191107
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, CHHULHA, 131544, 1623700, Total, 0, 0, 0, 0, 0, 0, 1191107, 1191107
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, PIPRHA, 131573, 1623712, Roads, 0, 0, 0, 0, 0, 0, 1533000, 1533000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, PIPRHA, 131573, 1623712, Total, 0, 0, 0, 0, 0, 0, 1533000, 1533000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, BADIKHAR, 131535, 1623589, Roads, 0, 0, 0, 0, 0, 0, 706800, 706800
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, BADIKHAR, 131535, 1623589, Total, 0, 0, 0, 0, 0, 0, 706800, 706800
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, AMADAND, 131533, 1623588, Roads, 0, 0, 0, 0, 0, 0, 603300, 603300
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, AMADAND, 131533, 1623588, Total, 0, 0, 0, 0, 0, 0, 603300, 603300
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, BELIYA BADI, 131540, 1623699, Roads, 0, 0, 0, 0, 0, 0, 354225, 354225
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, BELIYA BADI, 131540, 1623699, Total, 0, 0, 0, 0, 0, 0, 354225, 354225
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, DHURWASIN, 131553, 1623706, Roads, 0, 0, 0, 0, 0, 0, 900370, 900370
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, DHURWASIN, 131553, 1623706, Total, 0, 0, 0, 0, 0, 0, 900370, 900370
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, DEORI, 131551, 1623705, Roads, 0, 0, 0, 0, 0, 0, 302400, 302400
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, DEORI, 131551, 1623705, Water Conservation, 0, 0, 0, 0, 0, 0, 30000, 30000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, DEORI, 131551, 1623705, Total, 0, 0, 0, 0, 0, 0, 332400, 332400
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, KHODRI NO.1, 131561, 1623708, Roads, 0, 0, 0, 0, 0, 0, 1239116, 1239116
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, KHODRI NO.1, 131561, 1623708, Total, 0, 0, 0, 0, 0, 0, 1239116, 1239116
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, JMUNIHA, 131559, 1623707, Roads, 0, 0, 0, 0, 0, 0, 908150, 908150
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, JMUNIHA, 131559, 1623707, Total, 0, 0, 0, 0, 0, 0, 908150, 908150
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, LAMATOLA, 131563, 1623709, Roads, 0, 0, 0, 0, 0, 0, 624475, 624475
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, LAMATOLA, 131563, 1623709, Total, 0, 0, 0, 0, 0, 0, 624475, 624475
