2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, TASSAR, 102528, 1755393, Education, 0, 0, 0, 0, 0, 0, 1047022, 1047022
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, TASSAR, 102528, 1755393, Total, 0, 0, 0, 0, 0, 0, 1047022, 1047022
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, YAGLUNG, 102530, 1808205, Education, 0, 0, 0, 0, 0, 0, 302461, 302461
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, YAGLUNG, 102530, 1808205, Roads, 0, 0, 0, 0, 0, 0, 302461, 302461
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, YAGLUNG, 102530, 1808205, Total, 0, 0, 0, 0, 0, 0, 604922, 604922
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, TALI, 2776, GUCHI, 102583, 1628149, Markets and fairs, 0, 0, 0, 0, 0, 0, 700000, 700000
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, TALI, 2776, GUCHI, 102583, 1628149, Water Conservation, 0, 0, 0, 0, 0, 0, 800000, 800000
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, TALI, 2776, GUCHI, 102583, 1628149, Total, 0, 0, 0, 0, 0, 0, 1500000, 1500000
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, YANGTE, 2778, CHOBA, 102606, 1627733, Social welfare, 0, 0, 0, 0, 0, 0, 1900000, 1900000
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, YANGTE, 2778, CHOBA, 102606, 1627733, Total, 0, 0, 0, 0, 0, 0, 1900000, 1900000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, DAMIN, 2767, BAMO, 102464, 1641966, Roads, 0, 0, 0, 0, 0, 0, 800000, 800000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, DAMIN, 2767, BAMO, 102464, 1641966, Women and child development, 0, 0, 0, 0, 0, 0, 800000, 800000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, DAMIN, 2767, BAMO, 102464, 1641966, Total, 0, 0, 0, 0, 0, 0, 1600000, 1600000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, DAMIN, 2767, CHIYA, 102465, 1647728, Land improvement, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, DAMIN, 2767, CHIYA, 102465, 1647728, Water Conservation, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, DAMIN, 2767, CHIYA, 102465, 1647728, Total, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, NYAPIN, 2770, GANGNE-DOLO, 102494, 1963541, Roads, 0, 0, 0, 0, 0, 0, 340193, 340193
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, NYAPIN, 2770, GANGNE-DOLO, 102494, 1963541, Water Conservation, 0, 0, 0, 0, 0, 0, 319000, 319000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, NYAPIN, 2770, GANGNE-DOLO, 102494, 1963541, Total, 0, 0, 0, 0, 0, 0, 659193, 659193
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, NYAPIN, 2770, GAGA-YUBA, 102493, 1945142, Land improvement, 0, 0, 0, 0, 0, 0, 500285, 500285
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, NYAPIN, 2770, GAGA-YUBA, 102493, 1945142, Roads, 0, 0, 0, 0, 0, 0, 1166211, 1166211
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, NYAPIN, 2770, GAGA-YUBA, 102493, 1945142, Total, 0, 0, 0, 0, 0, 0, 1666496, 1666496
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, SANGO, 273757, 1643730, Drinking water, 0, 0, 0, 0, 0, 0, 1100000, 1100000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, SANGO, 273757, 1643730, Water Conservation, 0, 0, 0, 0, 0, 0, 800000, 800000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, SANGO, 273757, 1643730, Total, 0, 0, 0, 0, 0, 0, 1900000, 1900000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, UPPER PINCHI, 273755, 1643794, Fisheries, 0, 0, 0, 0, 0, 0, 600000, 600000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, UPPER PINCHI, 273755, 1643794, Water Conservation, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, UPPER PINCHI, 273755, 1643794, Total, 0, 0, 0, 0, 0, 0, 1600000, 1600000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LEYA, 273754, 1643363, Social welfare, 0, 0, 0, 0, 0, 0, 650000, 650000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LEYA, 273754, 1643363, Water Conservation, 0, 0, 0, 0, 0, 0, 800000, 800000
